decision_id,market,profile_key,title,address,observed_sources,observed_categories,observed_source_decisions,profile_status_basis,allowed_manual_decisions,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on
profile:LA_CA_L:google:cid:2520457688506967269,LA_CA_L,google:cid:2520457688506967269,Comprehensive Health Care,"3540 Wilshire Blvd #715, Los Angeles, CA 90010",business_listings,Home health care service,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:16992949408117753400,LA_CA_L,google:cid:16992949408117753400,DENTAL CLINIC LLC,"6933 Santa Monica Blvd, Los Angeles, CA 90038",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:13376749074934566412,LA_CA_L,google:cid:13376749074934566412,Dent X Imaging Center,"1323 N San Fernando Blvd, Burbank, CA 91504",business_listings,X-ray lab,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:15759839424443607988,LA_CA_L,google:cid:15759839424443607988,Dental Diagnostic Imaging Center,"16661 Ventura Blvd Ste 508, Encino, CA 91436",business_listings,Dental radiology,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:9897196552596211841,LA_CA_L,google:cid:9897196552596211841,"Dental Office App, powered by Dentulu","2002 S Hoover St, Los Angeles, CA 90007",business_listings|maps_core,Design engineer|Emergency dental service,automatic_include|needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:12885897894595729904,LA_CA_L,google:cid:12885897894595729904,"Dentist Design, Inc.","2609 Honolulu Ave, Montrose, CA 91020",business_listings,Dental laboratory,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:8725559073317735762,LA_CA_L,google:cid:8725559073317735762,Denture Care Services,"4686 Woodside Dr Apt 201, Los Angeles, CA 90065",business_listings,Denture care center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:10636425930933224952,LA_CA_L,google:cid:10636425930933224952,Denture Repair and Implants,"3506 Whittier Blvd, Los Angeles, CA 90023",business_listings,Denture care center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:2524994487239952688,LA_CA_L,google:cid:2524994487239952688,Discount Prescription Drug Card,"1325 S Rimpau Blvd, Los Angeles, CA 90019",business_listings,Pharmacy,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:1140174246573374673,LA_CA_L,google:cid:1140174246573374673,"Dog and Cat Dentist, Inc.","9599 Jefferson Blvd, Culver City, CA 90232",business_listings,Veterinary care,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:14042312314831859793,LA_CA_L,google:cid:14042312314831859793,"Dog and Cat Dentist, Inc.","20051 Ventura Blvd, Woodland Hills, CA 91364",business_listings,Veterinarian,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:2441964306954383770,LA_CA_L,google:cid:2441964306954383770,"Dr. Benjamin W. Walline, DDS, MD, FACS","2080 Century Pk E #610, Los Angeles, CA 90067",business_listings,Otolaryngologist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:10967843234449240540,LA_CA_L,google:cid:10967843234449240540,Dr. Fouy Chau,"5363 Balboa Blvd Ste 328, Encino, CA 91316",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:5006005254849634573,LA_CA_L,google:cid:5006005254849634573,Dr. Martin Galstyan,"813 Fair Oaks Ave, South Pasadena, CA 91030",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:2649598478930240656,LA_CA_L,google:cid:2649598478930240656,Dr. Ruben Baghdassarian,"2888 Long Beach Blvd #265, Long Beach, CA 90806",business_listings,Urologist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:1162981377477082976,LA_CA_L,google:cid:1162981377477082976,"Dr. Soroush Zaghi, MD","10921 Wilshire Blvd #505, Los Angeles, CA 90024",business_listings,Otolaryngologist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:8910150710373783377,LA_CA_L,google:cid:8910150710373783377,"Dr. Wei Ching Lee, MD - Arc Motion Rehab Clinic","55 E Huntington Dr #219, Arcadia, CA 91006",business_listings,Pain management physician,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:10072456300286438869,LA_CA_L,google:cid:10072456300286438869,"Dunkel Dental Services & Equipment Sales, Inc.","24612 Pine St, Santa Clarita, CA 91321",business_listings,Dental supply store,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:15157740727408638271,LA_CA_L,google:cid:15157740727408638271,"Edmond Dental Lab, Inc. Full digital services","1555 N Verdugo Rd, Glendale, CA 91208",business_listings,Dental laboratory,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
